replicate,chrom,q,coverage,tau,f1,auc
82,21,-0.026354002,0.901294498381877,3.0,0.0,0.592896174863388
83,13,-0.028014503,0.8963210702341137,5.5,0.0,0.3398982894128525
83,18,-0.028014503,0.8963210702341137,5.5,0.0,0.5525291828793775
83,21,-0.028014503,0.8963210702341137,3.0,0.0,0.4211255411255411
84,13,-0.02541519,0.9049180327868852,3.5,0.1875,0.48919207692939914
84,18,-0.02541519,0.9049180327868852,5.0,0.0,0.5413793103448276
84,21,-0.02541519,0.9049180327868852,3.0,0.0,0.35540245336918164
85,13,-0.0274202424,0.8991735537190083,5.5,0.0,0.3937244429608613
85,18,-0.0274202424,0.8991735537190083,5.0,0.0,0.5153476950552517
85,21,-0.0274202424,0.8991735537190083,3.0,0.0,0.5906532491898345
86,13,-0.0274051985,0.9003267973856209,3.5,0.0,0.5745791245791246
86,18,-0.0274051985,0.9003267973856209,5.5,0.0,0.5494071146245059
86,21,-0.0274051985,0.9003267973856209,3.0,0.0,0.5392255892255892
87,13,-0.027522729399999998,0.9036544850498339,5.5,0.0,0.4583861427967892
87,18,-0.027522729399999998,0.9036544850498339,5.0,0.0,0.5299072265625
87,21,-0.027522729399999998,0.9036544850498339,3.0,0.0,0.5107816711590297
88,13,-0.025741726099999997,0.9041322314049587,5.5,0.0,0.39812490772183673
