replicate,K,mean_loss,boundaries,times,valid_time_separation
57,5,0.9678279406562657,31.0|32.0|33.5|35.0,10.0|12.4|16.1|19.2|25.0,True
58,1,7.567669630659711,,18.3,True
58,2,3.337547351699445,32.0,10.9|22.0,True
58,3,1.7424031410367267,31.5|34.0,10.2|16.6|24.8,True
58,4,1.2434571108322179,31.0|32.5|34.5,10.0|13.2|18.3|25.0,True
58,5,1.1054482415031122,30.5|31.5|33.0|34.5,10.0|11.1|14.7|18.5|25.0,True
59,1,8.479935574519862,,19.7,True
59,2,3.5723413246384004,32.5,12.1|24.7,True
59,3,1.770323773641722,31.5|34.0,10.1|16.3|25.0,True
59,4,1.2142540954275085,31.0|32.5|35.0,10.0|13.6|18.6|25.0,True
59,5,0.8672869279574686,31.0|32.5|34.0|35.5,10.0|13.6|17.1|20.5|25.0,True
60,1,8.515239264988315,,18.8,True
60,2,3.666478254343611,32.0,10.6|23.7,True
60,3,1.6131619119085236,31.5|34.0,10.3|16.6|25.0,True
60,4,1.0965329467700156,31.5|33.0|35.0,10.3|15.0|18.8|25.0,True
60,5,0.8230738258447758,31.0|32.5|33.5|35.0,10.0|13.2|16.5|19.1|25.0,True
61,1,7.483010404968542,,17.4,True
61,2,3.2992912801934993,32.0,10.6|20.9,True
61,3,1.6977268512866506,31.5|34.0,10.1|16.3|25.0,True
61,4,1.118443448199297,31.0|32.5|34.5,10.0|13.9|18.2|25.0,True
61,5,0.8890434910501002,31.0|32.5|33.5|35.0,10.0|13.9|16.2|19.3|25.0,True
62,1,7.851963244611438,,18.2,True
62,2,3.5657177637333257,32.0,10.7|23.1,True
62,3,1.584251885927051,31.5|34.5,10.0|18.0|25.0,True
62,4,1.0046596911676944,31.0|33.0|34.5,10.0|14.4|18.4|25.0,True
62,5,0.8523066177907074,31.0|32.0|33.5|34.5,10.0|12.6|16.3|18.5|25.0,True
63,1,8.363410901959112,,18.4,True
63,2,3.486886549206557,32.5,12.1|24.8,True
63,3,1.6397815936664835,31.5|34.0,10.2|16.0|25.0,True
63,4,1.0292401911781688,31.5|33.0|35.0,10.2|15.0|19.1|25.0,True
63,5,0.7559610765443343,31.0|32.0|33.0|35.0,10.0|12.5|15.3|19.1|25.0,True
64,1,8.340070476399196,,19.1,True
64,2,3.4680397632860105,32.5,12.1|23.2,True
64,3,1.8142961535130349,31.5|34.0,10.2|16.2|25.0,True
64,4,1.2408790656167041,31.0|32.5|35.0,10.0|13.2|18.6|25.0,True
64,5,0.8928668188370391,31.0|32.5|33.5|35.5,10.0|13.2|16.2|20.7|25.0,True
65,1,8.580731383222973,,18.0,True
65,2,3.434113323529123,33.0,12.9|25.0,True
65,3,1.5721902883280958,31.5|34.0,10.4|16.0|25.0,True
65,4,1.1117096048576665,31.5|33.0|35.0,10.4|14.7|19.0|25.0,True
65,5,0.8228345868959459,31.0|32.0|33.0|35.0,10.0|12.4|15.0|19.0|25.0,True
66,1,8.595012059941437,,18.8,True
66,2,3.4437114265358066,32.5,11.3|24.7,True
66,3,1.6208526899974287,31.5|34.0,10.0|16.1|25.0,True
66,4,1.1328685455018184,31.0|32.5|34.5,10.0|13.1|17.4|25.0,True
66,5,0.7789817025379924,31.0|32.5|33.5|35.0,10.0|13.1|16.1|19.7|25.0,True
67,1,8.176825937226338,,18.5,True
67,2,3.3144307712788645,32.0,10.5|23.1,True
67,3,1.5230930241528404,31.5|34.5,10.0|18.1|25.0,True
67,4,0.9697678704734016,31.5|33.0|35.0,10.0|15.0|19.0|25.0,True
67,5,0.7946889468295472,31.0|32.5|33.5|35.0,10.0|13.6|16.2|19.1|25.0,True
68,1,8.590623423931659,,18.0,True
68,2,3.088184454377561,32.0,10.5|24.7,True
68,3,1.3334035490100715,31.5|34.5,10.0|17.4|25.0,True
68,4,0.9085466315108449,31.5|33.0|34.5,10.0|14.6|18.2|25.0,True
68,5,0.7548964067064327,31.0|32.0|33.5|35.0,10.0|12.4|16.0|18.5|25.0,True
69,1,8.029524308417697,,18.0,True
69,2,3.431155745546826,32.0,11.1|22.8,True
69,3,1.7001857363177952,31.5|34.0,10.0|16.2|25.0,True
69,4,1.0936346507151073,31.0|33.0|35.0,10.0|14.8|19.1|25.0,True
69,5,0.77131842432383,31.0|32.0|33.5|35.0,10.0|12.4|16.0|19.3|25.0,True
70,1,8.319504792756346,,19.1,True
70,2,3.522047253824773,32.0,10.9|22.6,True
70,3,1.6255766666973894,31.5|34.0,10.1|16.2|25.0,True
70,4,1.1297123986890596,31.5|33.5|35.0,10.1|16.0|19.7|25.0,True
70,5,0.7916020347913858,31.0|32.0|33.5|35.0,10.0|12.6|16.1|19.7|25.0,True
71,1,8.174159034212524,,19.1,True
71,2,3.4729939238177447,32.0,10.6|22.6,True
71,3,1.6721599157188722,31.5|34.0,10.2|16.6|25.0,True
71,4,1.0908374334689064,31.5|33.5|35.0,10.2|16.0|19.7|25.0,True
