level,chrom,rule,TP,FN,FP,TN,sens,spec,ppv,npv,f1,coverage,auc,tau,tau_min,tau_max,cv_cost,q,replicate
record,18,na,0,29,0,535,0.0,1.0,0.0,0.9485815602836879,0.0,0.9009584664536742,0.5622300999033194,5.5,5.5,5.5,360.0,-0.026404649000000002,7
pregnant,18,conservative,0,34,0,113,0.0,1.0,0.0,0.7687074829931972,0.0,1.0,0.5468505986465383,5.5,5.5,5.5,360.0,-0.026404649000000002,7
pregnant,18,majority,0,34,0,113,0.0,1.0,0.0,0.7687074829931972,0.0,1.0,0.5468505986465383,5.5,5.5,5.5,360.0,-0.026404649000000002,7
pregnant,18,max_risk,0,34,0,113,0.0,1.0,0.0,0.7687074829931972,0.0,1.0,0.5468505986465383,5.5,5.5,5.5,360.0,-0.026404649000000002,7
record,21,na,0,10,0,554,0.0,1.0,0.0,0.9822695035460993,0.0,0.9009584664536742,0.4666064981949458,3.0,3.0,3.0,120.0,-0.026404649000000002,7
pregnant,21,conservative,0,10,0,137,0.0,1.0,0.0,0.9319727891156463,0.0,1.0,0.43795620437956206,3.0,3.0,3.0,120.0,-0.026404649000000002,7
pregnant,21,majority,0,10,0,137,0.0,1.0,0.0,0.9319727891156463,0.0,1.0,0.43795620437956206,3.0,3.0,3.0,120.0,-0.026404649000000002,7
pregnant,21,max_risk,0,10,0,137,0.0,1.0,0.0,0.9319727891156463,0.0,1.0,0.43795620437956206,3.0,3.0,3.0,120.0,-0.026404649000000002,7
record,13,na,0,24,4,517,0.0,0.9923224568138196,0.0,0.955637707948244,0.0,0.9053156146179402,0.34516954574536146,4.5,3.5,4.5,291.0,-0.030629869,8
pregnant,13,conservative,0,29,4,114,0.0,0.9661016949152542,0.0,0.7972027972027972,0.0,1.0,0.48158971361776737,4.5,3.5,4.5,291.0,-0.030629869,8
pregnant,13,majority,0,29,0,118,0.0,1.0,0.0,0.8027210884353742,0.0,1.0,0.48158971361776737,4.5,3.5,4.5,291.0,-0.030629869,8
pregnant,13,max_risk,0,29,4,114,0.0,0.9661016949152542,0.0,0.7972027972027972,0.0,1.0,0.48158971361776737,4.5,3.5,4.5,291.0,-0.030629869,8
record,18,na,0,32,0,513,0.0,1.0,0.0,0.9412844036697248,0.0,0.9053156146179402,0.4100877192982456,5.0,5.0,5.0,375.0,-0.030629869,8
pregnant,18,conservative,0,36,0,111,0.0,1.0,0.0,0.7551020408163265,0.0,1.0,0.5568068068068067,5.0,5.0,5.0,375.0,-0.030629869,8
pregnant,18,majority,0,36,0,111,0.0,1.0,0.0,0.7551020408163265,0.0,1.0,0.5568068068068067,5.0,5.0,5.0,375.0,-0.030629869,8
pregnant,18,max_risk,0,36,0,111,0.0,1.0,0.0,0.7551020408163265,0.0,1.0,0.5568068068068067,5.0,5.0,5.0,375.0,-0.030629869,8
record,21,na,0,11,0,534,0.0,1.0,0.0,0.9798165137614679,0.0,0.9053156146179402,0.587163772557031,3.0,3.0,3.0,129.0,-0.030629869,8
pregnant,21,conservative,0,11,0,136,0.0,1.0,0.0,0.9251700680272109,0.0,1.0,0.49933155080213903,3.0,3.0,3.0,129.0,-0.030629869,8
pregnant,21,majority,0,11,0,136,0.0,1.0,0.0,0.9251700680272109,0.0,1.0,0.49933155080213903,3.0,3.0,3.0,129.0,-0.030629869,8
pregnant,21,max_risk,0,11,0,136,0.0,1.0,0.0,0.9251700680272109,0.0,1.0,0.49933155080213903,3.0,3.0,3.0,129.0,-0.030629869,8
record,13,na,0,15,6,535,0.0,0.988909426987061,0.0,0.9727272727272728,0.0,0.9011345218800648,0.4771410967344424,3.5,3.5,4.5,189.0,-0.0253843143,9
pregnant,13,conservative,0,16,6,125,0.0,0.9541984732824428,0.0,0.8865248226950354,0.0,1.0,0.4255725190839695,3.5,3.5,4.5,189.0,-0.0253843143,9
pregnant,13,majority,0,16,0,131,0.0,1.0,0.0,0.891156462585034,0.0,1.0,0.4255725190839695,3.5,3.5,4.5,189.0,-0.0253843143,9
pregnant,13,max_risk,0,16,6,125,0.0,0.9541984732824428,0.0,0.8865248226950354,0.0,1.0,0.4255725190839695,3.5,3.5,4.5,189.0,-0.0253843143,9
record,18,na,0,24,0,532,0.0,1.0,0.0,0.9568345323741008,0.0,0.9011345218800648,0.575187969924812,5.5,5.5,5.5,279.0,-0.0253843143,9
pregnant,18,conservative,0,27,0,120,0.0,1.0,0.0,0.8163265306122449,0.0,1.0,0.525,5.5,5.5,5.5,279.0,-0.0253843143,9
pregnant,18,majority,0,27,0,120,0.0,1.0,0.0,0.8163265306122449,0.0,1.0,0.525,5.5,5.5,5.5,279.0,-0.0253843143,9
pregnant,18,max_risk,0,27,0,120,0.0,1.0,0.0,0.8163265306122449,0.0,1.0,0.525,5.5,5.5,5.5,279.0,-0.0253843143,9
record,21,na,0,6,0,550,0.0,1.0,0.0,0.9892086330935251,0.0,0.9011345218800648,0.39030303030303026,3.0,3.0,3.0,72.0,-0.0253843143,9
pregnant,21,conservative,0,5,0,142,0.0,1.0,0.0,0.9659863945578231,0.0,1.0,0.26478873239436623,3.0,3.0,3.0,72.0,-0.0253843143,9
pregnant,21,majority,0,5,0,142,0.0,1.0,0.0,0.9659863945578231,0.0,1.0,0.26478873239436623,3.0,3.0,3.0,72.0,-0.0253843143,9
pregnant,21,max_risk,0,5,0,142,0.0,1.0,0.0,0.9659863945578231,0.0,1.0,0.26478873239436623,3.0,3.0,3.0,72.0,-0.0253843143,9
record,13,na,0,28,1,514,0.0,0.9980582524271845,0.0,0.948339483394834,0.0,0.8990066225165563,0.3435506241331484,5.5,5.0,5.5,339.0,-0.027362641,10
pregnant,13,conservative,0,26,1,120,0.0,0.9917355371900827,0.0,0.821917808219178,0.0,1.0,0.4624920534011443,5.5,5.0,5.5,339.0,-0.027362641,10
pregnant,13,majority,0,26,0,121,0.0,1.0,0.0,0.8231292517006803,0.0,1.0,0.4624920534011443,5.5,5.0,5.5,339.0,-0.027362641,10
