ga,group,loss,t_star
21.2,G4,2.8282523878681145,19.3
21.3,G4,2.9282523878681155,19.3
21.4,G4,3.0282523878681133,19.3
21.5,G4,3.1282523878681148,19.3
21.6,G4,3.228252387868116,19.3
21.7,G4,3.3282523878681145,19.3
21.8,G4,3.4282523878681155,19.3
21.9,G4,3.5282523878681133,19.3
22.0,G4,3.6282523878681148,19.3
22.1,G4,3.728252387868116,19.3
22.2,G4,3.828252387868114,19.3
22.3,G4,3.928252387868116,19.3
22.4,G4,4.028252387868114,19.3
22.5,G4,4.128252387868114,19.3
22.6,G4,4.228252387868117,19.3
22.7,G4,4.328252387868114,19.3
22.8,G4,4.428252387868116,19.3
22.9,G4,4.528252387868114,19.3
23.0,G4,4.628252387868114,19.3
23.1,G4,4.728252387868117,19.3
23.2,G4,4.828252387868114,19.3
23.3,G4,4.928252387868116,19.3
23.4,G4,5.028252387868114,19.3
23.5,G4,5.128252387868114,19.3
23.6,G4,5.228252387868117,19.3
23.7,G4,5.328252387868114,19.3
23.8,G4,5.428252387868116,19.3
23.9,G4,5.528252387868114,19.3
24.0,G4,5.628252387868114,19.3
24.1,G4,5.728252387868117,19.3
24.2,G4,5.828252387868114,19.3
24.3,G4,5.928252387868116,19.3
24.4,G4,6.028252387868114,19.3
24.5,G4,6.128252387868114,19.3
24.6,G4,6.228252387868117,19.3
24.7,G4,6.328252387868114,19.3
24.8,G4,6.428252387868116,19.3
24.9,G4,6.528252387868114,19.3
25.0,G4,6.628252387868114,19.3
10.0,G5,54.47341949856521,25.0
10.1,G5,54.073419498565215,25.0
10.2,G5,53.673419498565224,25.0
10.3,G5,53.273419498565204,25.0
10.4,G5,52.87341949856521,25.0
10.5,G5,52.47341949856521,25.0
10.6,G5,52.0734194985652,25.0
10.7,G5,51.673419498565224,25.0
10.8,G5,51.273419498565204,25.0
10.9,G5,50.87341949856521,25.0
11.0,G5,50.47341949856521,25.0
11.1,G5,50.07341949856521,25.0
11.2,G5,49.673419498565224,25.0
11.3,G5,49.27341949856521,25.0
11.4,G5,48.87341949856521,25.0
